#Selection name: Tumor_Enriched_Region
#Area (µm^2): 4970421.02
Cell ID,Cluster,Transcripts,Area (µm^2)
inoeegpa-1,Cluster 7,0,47.54
inpldccg-1,Cluster 5,0,41.74
inpkjbai-1,Cluster 7,0,32.62
inpmneii-1,Cluster 5,0,47.94
ogmgblkb-1,Cluster 5,0,147.84
inphaefa-1,Cluster 3,0,48.92
innjapmj-1,Cluster 5,0,37.98
innillhp-1,Cluster 5,0,56.37
ihdfgmem-1,Cluster 5,0,102.97
ihdfmdmm-1,Cluster 5,0,236.79
ihdemfao-1,Cluster 5,0,64.17
ihdhfglb-1,Cluster 3,0,45.60
ihdidlce-1,Cluster 5,0,93.98
innhcpei-1,Cluster 5,0,94.94
innjikad-1,Cluster 5,0,47.77
innjknaf-1,Cluster 1,0,161.83
innnhghb-1,Cluster 5,0,22.80
innobpjo-1,Cluster 4,0,57.85
ijcnmckj-1,Cluster 5,0,38.24
oglchdhp-1,Cluster 1,0,9.27
akeodbhh-1,Cluster 1,0,54.61
akecbigm-1,Cluster 4,0,143.97
akeehgeb-1,Cluster 4,0,90.32
akeemhff-1,Cluster 1,0,43.74
akeegffk-1,Cluster 1,0,74.50
ihddpbjg-1,Cluster 4,0,104.85
ihdcilaj-1,Cluster 6,0,87.44
ihdaglek-1,Cluster 1,0,32.60
ogmfaeal-1,Cluster 1,0,4.83
ihdakfej-1,Cluster 6,0,43.55
akegfedn-1,Cluster 1,0,48.40
akdhdhco-1,Cluster 4,0,28.25
ihegljgl-1,Cluster 3,0,23.20
akeckdee-1,Cluster 1,0,59.68
ihdblkif-1,Cluster 4,0,44.40
akepiiik-1,Cluster 1,0,60.94
ihoajalh-1,Cluster 5,0,87.59
ihocbiho-1,Cluster 5,0,55.29
ihobopeb-1,Cluster 1,0,45.85
ihoandcg-1,Cluster 7,0,30.81
ihnppnie-1,Cluster 5,0,94.62
ogkkbbho-1,Cluster 3,0,69.71
ihobhpcf-1,Cluster 6,0,51.38
ihoajgkh-1,Cluster 6,0,34.34
